fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Id,quality
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,414,Average
8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,415,Average
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,416,Good
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,417,Average
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,418,Good
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,419,Average
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,421,Very God
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,422,Average
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,423,Very God
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,425,Very God
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,426,Good
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,427,Good
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,428,Average
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,429,Good
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,430,Very God
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,431,Average
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,433,Average
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,434,Good
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,435,Average
8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,436,Good
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,437,Good
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,439,Average
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,440,Excellent
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,442,Very God
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,444,Very God
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,446,Average
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,447,Average
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,448,Good
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,449,Good
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,450,Good
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,452,Good
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,453,Very God
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,454,Average
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,455,Excellent
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,456,Average
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,457,Average
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,459,Very Poor
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,460,Good
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,461,Average
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,464,Good
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,466,Good
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,467,Good
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,468,Good
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,469,Average
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,470,Average
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,471,Good
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,472,Good
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,475,Average
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,476,Average
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,477,Good
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,479,Good
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,480,Average
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,481,Excellent
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,483,Average
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,485,Average
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,487,Good
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,489,Good
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,491,Very God
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,492,Very God
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,493,Good
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,494,Good
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,495,Excellent
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,496,Good
7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,497,Average
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,498,Excellent
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,499,Good
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,500,Good
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,501,Very God
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,502,Very God
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,504,Very God
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,505,Very God
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,506,Very God
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,507,Good
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,509,Very God
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,511,Good
10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,512,Good
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,513,Very God
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,514,Very God
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,515,Average
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,516,Good
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,517,Very Poor
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,520,Good
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,523,Average
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,524,Average
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,527,Good
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,529,Average
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,530,Good
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,531,Average
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,532,Average
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,533,Good
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,534,Good
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,535,Good
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,536,Average
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,537,Good
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,538,Very God
11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,539,Average
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,540,Average
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,541,Good
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,542,Average
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,543,Good
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,544,Good
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,545,Average
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,546,Good
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,547,Good
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,548,Good
6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,550,Good
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,551,Good
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,552,Good
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,553,Average
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,554,Average
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,556,Good
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,557,Average
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,559,Good
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,560,Average
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,562,Average
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,563,Good
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,564,Good
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,565,Average
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,567,Good
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,568,Good
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,569,Good
11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,570,Good
10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,572,Average
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,576,Poor
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,577,Average
8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,578,Average
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,579,Good
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,580,Average
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,581,Average
12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,583,Very God
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,587,Average
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,588,Excellent
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,590,Average
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,591,Good
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,592,Average
9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,593,Average
8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,595,Average
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,596,Good
8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,598,Good
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,602,Average
8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,604,Good
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,607,Good
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,608,Good
6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,609,Good
8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,610,Average
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,611,Average
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,612,Good
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,616,Average
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,617,Good
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,619,Average
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,620,Average
8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,621,Average
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,622,Average
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,625,Average
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,626,Average
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,627,Average
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,628,Good
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,629,Average
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,630,Good
10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,631,Average
7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,632,Good
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,633,Poor
7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,634,Average
8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,635,Average
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,636,Average
9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,637,Average
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,639,Good
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,640,Average
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,642,Average
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,644,Average
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,647,Poor
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,648,Very God
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,649,Good
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,650,Average
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,652,Average
9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,653,Good
8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,654,Average
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,655,Average
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,656,Average
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,657,Very God
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,658,Good
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,660,Good
7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,661,Average
7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,662,Good
9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,665,Average
8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,666,Good
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,667,Good
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,669,Good
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,671,Average
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,673,Average
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,676,Good
8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,677,Average
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,678,Average
10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,679,Average
8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,681,Good
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,682,Average
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,683,Average
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,684,Average
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,685,Average
7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,688,Average
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,689,Average
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,691,Average
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,692,Average
9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,693,Average
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,694,Average
5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,695,Good
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,697,Good
9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,698,Average
11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,699,Good
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,700,Good
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,701,Good
7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,702,Good
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,703,Poor
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,704,Poor
8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,705,Average
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,706,Average
7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,707,Average
7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,708,Good
10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,710,Average
8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,711,Average
9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,714,Average
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,717,Average
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,718,Average
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,719,Average
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,720,Average
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,721,Average
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,723,Average
9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,725,Average
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,726,Good
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,727,Average
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,728,Average
6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,729,Good
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,730,Average
8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,731,Average
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,732,Average
7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,733,Average
7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,734,Average
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,736,Average
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,737,Good
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,739,Average
8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,740,Good
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,741,Average
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,744,Average
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,745,Good
8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,746,Good
7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,748,Good
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,749,Good
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,750,Average
7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,752,Average
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,753,Average
7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,754,Good
7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,755,Good
6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,756,Good
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,757,Average
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,758,Average
8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,759,Average
9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,760,Average
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,761,Average
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,762,Good
9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,764,Good
9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,765,Good
8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,766,Average
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,768,Good
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,769,Average
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,770,Good
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,771,Average
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,772,Average
7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,773,Good
7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,775,Average
6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,777,Good
8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,778,Average
7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,779,Average
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,780,Good
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,781,Average
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,784,Average
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,785,Average
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,787,Good
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,788,Good
8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,789,Average
7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,790,Good
8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,791,Average
7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,792,Good
7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,793,Average
10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,794,Good
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,795,Average
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,796,Average
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,797,Very God
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,799,Good
8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,801,Average
